Latin_Name,NCRN_Common,Common,Family,Genus,Species,TSN,Favorite,Woody,Herbaceous,Targeted_Herb,Tree,Shrub,Vine,Exotic
Nothoscordum borbonicum,,fragrant false garlic,Liliaceae,Nothoscordum,borbonicum,565322,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Nuphar advena,,,Nymphaeaceae,Nuphar,advena,18382,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Nuphar lutea,yellow pond-lily,"yellow cowlily, yellow pond-lily, yellow pondlily",Nymphaeaceae,Nuphar,lutea,503968,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Nuphar luteum,,,Nymphaeaceae,Nuphar,luteum,18372,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Nuttallanthus canadensis,,"Canada toadflax, oldfield toadflax, oldfield-toadflax",Scrophulariaceae,Nuttallanthus,canadensis,503969,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Nymphaea odorata,American white waterlily,"American waterlily, American white waterlily, white waterlily",Nymphaeaceae,Nymphaea,odorata,18384,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Nyssa aquatica,water tupelo,water tupelo,Nyssaceae,Nyssa,aquatica,27824,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Nyssa sylvatica,blackgum,"black gum, black tupelo, blackgum",Nyssaceae,Nyssa,sylvatica,27821,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Obolaria virginica,,Virginia pennywort,Gentianaceae,Obolaria,virginica,30104,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Oclemena acuminata,,whorled wood aster,Asteraceae,Oclemena,acuminata,507627,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Oenothera argillicola,,shalebarren evening-primrose,Onagraceae,Oenothera,argillicola,27374,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Oenothera biennis,common evening-primrose,"common evening primrose, common evening-primrose, common eveningprimrose, evening primrose (common), hoary eveningprimrose, king",Onagraceae,Oenothera,biennis,27368,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Oenothera fruticosa,narrowleaf evening-primrose,narrowleaf evening-primrose,Onagraceae,Oenothera,fruticosa,27369,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Oenothera laciniata,cutleaf evening-primrose,"cut-leaf evening-primrose, cut-leaved evening primrose, cutleaf evening-primrose, cutleaf eveningprimrose",Onagraceae,Oenothera,laciniata,27371,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Oenothera latifolia,,"mountain evening-primrose, mountain eveningprimrose",Onagraceae,Oenothera,latifolia,27426,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Oenothera parviflora,northern evening-primrose,northern evening-primrose,Onagraceae,Oenothera,parviflora,504007,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Oenothera perennis,little evening-primrose,little evening-primrose,Onagraceae,Oenothera,perennis,27372,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Oenothera pilosella,meadow evening-primrose,"meadow evening-primrose, meadow eveningprimrose",Onagraceae,Oenothera,pilosella,27406,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Oenothera speciosa,,"Showy evening primrose, pinkladies, showy eveningprimrose",Onagraceae,Oenothera,speciosa,27415,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Oenothera tetragona,,,Onagraceae,Oenothera,tetragona,517744,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Onoclea sensibilis,sensitive fern,sensitive fern,Dryopteridaceae,Onoclea,sensibilis,17637,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Onosmodium hispidissimum,,,Boraginaceae,Onosmodium,hispidissimum,517781,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Onosmodium molle,,"false gromwell, smooth onosmodium, soft-hair marbleseed, softhair marbleseed",Boraginaceae,Onosmodium,molle,31967,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Onosmodium virginianum,,wild Job's tears,Boraginaceae,Onosmodium,virginianum,31969,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Ophioglossum spp.,,adderstongue,Ophioglossaceae,Ophioglossum,,17194,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Ophioglossum vulgatum,southern adderstongue,"Southern adder's-tongue, southern adderstongue",Ophioglossaceae,Ophioglossum,vulgatum,565333,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Oplismenus undulatifolius,wavyleaf basketgrass,wavyleaf basketgrass,Poaceae,Oplismenus,undulatifolius,565334,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
