"Plot_Name","Unit_Code","Unit_Group","Subunit_Code","Cycle","Panel","Frame","Sample_Year","Date","Transect_Azimuth","TSN","Decay_Class","Diameter","Hollow","CWD_Notes","Latin_Name"
"ANTI-0201","ANTI","ANTI","na",4.00,1,"Park",2018,20180627,"360",32931,"2",13.00,0,,"Fraxinus americana"
"ANTI-0201","ANTI","ANTI","na",2.00,1,"Park",2010,20100719,"240",32931,"2",10.00,0,,"Fraxinus americana"
"ANTI-0201","ANTI","ANTI","na",2.00,1,"Park",2010,20100719,"360",19049,"4",13.50,0,,"Ulmus americana"
"ANTI-0201","ANTI","ANTI","na",2.00,1,"Park",2010,20100719,"120",19408,"3",7.50,0,,"Quercus rubra"
"ANTI-0201","ANTI","ANTI","na",4.00,1,"Park",2018,20180627,"240",999999,"3",10.00,0,,"Unknown"
"ANTI-0201","ANTI","ANTI","na",3.00,1,"Park",2014,20140716,"240",32931,"4",8.00,0,,"Fraxinus americana"
"ANTI-0206","ANTI","ANTI","na",3.00,4,"Park",2017,20170705,"240",504804,"3",13.00,0,,"Robinia pseudoacacia"
"ANTI-0206","ANTI","ANTI","na",3.00,4,"Park",2017,20170705,"240",999999,"3",8.00,0,,"Unknown"
"ANTI-0206","ANTI","ANTI","na",2.00,4,"Park",2013,20130815,"360",999999,"4",14.00,0,,"Unknown"
"ANTI-0206","ANTI","ANTI","na",2.00,4,"Park",2013,20130815,"240",504804,"2",13.00,0,,"Robinia pseudoacacia"
"ANTI-0206","ANTI","ANTI","na",2.00,4,"Park",2013,20130815,"360",504804,"3",13.00,0,,"Robinia pseudoacacia"
"ANTI-0206","ANTI","ANTI","na",3.00,4,"Park",2017,20170705,"360",999999,"3",11.00,0,,"Unknown"
"ANTI-0206","ANTI","ANTI","na",3.00,4,"Park",2017,20170705,"360",999999,"3",12.00,0,,"Unknown"
"ANTI-0206","ANTI","ANTI","na",2.00,4,"Park",2013,20130815,"360",999999,"3",12.50,0,"tulip?","Unknown"
"ANTI-0206","ANTI","ANTI","na",3.00,4,"Park",2017,20170705,"360",999999,"3",10.50,0,,"Unknown"
"ANTI-0206","ANTI","ANTI","na",3.00,4,"Park",2017,20170705,"120",504804,"2",21.00,0,,"Robinia pseudoacacia"
"ANTI-0206","ANTI","ANTI","na",3.00,4,"Park",2017,20170705,"360",504804,"3",13.50,0,,"Robinia pseudoacacia"
"ANTI-0206","ANTI","ANTI","na",3.00,4,"Park",2017,20170705,"240",504804,"3",8.00,0,,"Robinia pseudoacacia"
"ANTI-0206","ANTI","ANTI","na",3.00,4,"Park",2017,20170705,"360",504804,"4",7.50,0,,"Robinia pseudoacacia"
"ANTI-0206","ANTI","ANTI","na",2.00,4,"Park",2013,20130815,"360",504804,"3",14.00,1,,"Robinia pseudoacacia"
"ANTI-0206","ANTI","ANTI","na",3.00,4,"Park",2017,20170705,"120",999999,"3",7.50,0,,"Unknown"
"ANTI-0206","ANTI","ANTI","na",2.00,4,"Park",2013,20130815,"120",504804,"2",7.50,0,,"Robinia pseudoacacia"
"ANTI-0206","ANTI","ANTI","na",2.00,4,"Park",2013,20130815,"240",504804,"3",11.00,0,,"Robinia pseudoacacia"
"ANTI-0206","ANTI","ANTI","na",3.00,4,"Park",2017,20170705,"360",504804,"3",13.00,0,,"Robinia pseudoacacia"
"ANTI-0206","ANTI","ANTI","na",2.00,4,"Park",2013,20130815,"240",504804,"3",8.50,0,,"Robinia pseudoacacia"
"ANTI-0206","ANTI","ANTI","na",3.00,4,"Park",2017,20170705,"360",999999,"4",14.00,0,,"Unknown"
"ANTI-0206","ANTI","ANTI","na",2.00,4,"Park",2013,20130815,"360",999999,"3",11.00,0,,"Unknown"
"ANTI-0206","ANTI","ANTI","na",2.00,4,"Park",2013,20130815,"360",504804,"2",15.00,0,,"Robinia pseudoacacia"
"ANTI-0206","ANTI","ANTI","na",2.00,4,"Park",2013,20130815,"120",504804,"2",8.00,0,,"Robinia pseudoacacia"
"ANTI-0206","ANTI","ANTI","na",2.00,4,"Park",2013,20130815,"360",504804,"3",9.50,1,,"Robinia pseudoacacia"
"ANTI-0207","ANTI","ANTI","na",3.00,2,"Region",2015,20150723,"360",504804,"3",35.00,1,,"Robinia pseudoacacia"
"ANTI-0207","ANTI","ANTI","na",2.00,2,"Region",2011,20110912,"240",504804,"3",27.00,1,,"Robinia pseudoacacia"
"ANTI-0207","ANTI","ANTI","na",2.00,2,"Region",2011,20110912,"360",504804,"3",37.00,1,,"Robinia pseudoacacia"
"ANTI-0207","ANTI","ANTI","na",1.00,2,"Region",2007,20070731,"240",999999,"2",23.00,0,,"Unknown"
"ANTI-0207","ANTI","ANTI","na",2.00,2,"Region",2011,20110912,"120",504804,"3",16.50,0,,"Robinia pseudoacacia"
"ANTI-0207","ANTI","ANTI","na",4.00,2,"Region",2019,20190529,"360",18086,"4",19.50,0,,"Liriodendron tulipifera"
"ANTI-0207","ANTI","ANTI","na",4.00,2,"Region",2019,20190529,"360",504804,"3",17.00,1,,"Robinia pseudoacacia"
"ANTI-0207","ANTI","ANTI","na",1.00,2,"Region",2007,20070731,"360",999999,"3",15.00,0,,"Unknown"
"ANTI-0207","ANTI","ANTI","na",2.00,2,"Region",2011,20110912,"360",504804,"3",17.50,1,,"Robinia pseudoacacia"
"ANTI-0207","ANTI","ANTI","na",3.00,2,"Region",2015,20150723,"240",504804,"3",23.00,1,,"Robinia pseudoacacia"
