Plot_Name,Event_Date,Event_Date_Txt,Event_Year,Unit_Code,Unit_Group,Subunit_Code,Protocol_Name,Panel,Frame,Cycle,Event_ID,numSeedPlots
MANA-0027,6/17/2010 13:39,20100617,2010,MANA,MANA,na,2.0.1,1,Region,2,{E9B5C4E9-6E3A-400C-9EB9-0C9543A58C87},12
MANA-0027,5/24/2018 0:00,20180524,2018,MANA,MANA,na,2.3,1,Region,4,{D8CB97C7-B92E-4E85-A1B2-F2FDB694F082},12
MANA-0027,7/6/2006 0:00,20060706,2006,MANA,MANA,na,1,1,Region,1,{8E953961-79A7-4935-825D-48A34CB38470},12
MANA-0027,5/27/2014 0:00,20140527,2014,MANA,MANA,na,2.1,1,Region,3,{2AE42AD7-55DE-4505-9839-98B16D916893},12
MANA-0039,5/7/2019 9:39,20190507,2019,MANA,MANA,na,,2,Region,4,20190502124819-948571085.929871,12
MANA-0039,8/29/2011 12:47,20110829,2011,MANA,MANA,na,2.0.1,2,Region,2,{1A5C40F3-D828-41A1-B167-FCA05831FDD3},12
MANA-0039,6/11/2007 10:26,20070611,2007,MANA,MANA,na,1,2,Region,1,{635F037B-7D7F-41D7-B43C-D6690367213B},12
MANA-0039,5/1/2015 0:00,20150501,2015,MANA,MANA,na,2.2,2,Region,3,{0C34FFA8-5E33-4B88-9D90-2C8BB4BCFE68},12
MANA-0054,5/3/2018 0:00,20180503,2018,MANA,MANA,na,2.3,1,Region,4,{52DC5FE3-CDFC-4D6E-BADC-A86FB8102B86},12
MANA-0054,7/6/2006 0:00,20060706,2006,MANA,MANA,na,1,1,Region,1,{6439E953-8579-45D0-8B64-A7C3C2E751C3},12
MANA-0054,5/23/2014 0:00,20140523,2014,MANA,MANA,na,2.1,1,Region,3,{0F5C3846-EBBD-46E8-AC35-B7570CDF3999},12
MANA-0054,6/17/2010 10:01,20100617,2010,MANA,MANA,na,2.0.1,1,Region,2,{6E3D7212-BDC5-4A0F-A5BF-ACFDC8AC25C5},12
MANA-0060,5/20/2014 0:00,20140520,2014,MANA,MANA,na,2.1,1,Region,3,{19677641-8438-429B-BC38-14F7794B4775},12
MANA-0060,5/8/2018 0:00,20180508,2018,MANA,MANA,na,2.3,1,Region,4,{8632CFF8-D660-4B99-9E6F-0BF3BDDDE2FF},12
MANA-0060,7/7/2006 0:00,20060707,2006,MANA,MANA,na,1,1,Region,1,{42EFED14-89FC-4449-B23D-F8CBBE8E36DA},12
MANA-0060,6/23/2010 9:56,20100623,2010,MANA,MANA,na,2.0.1,1,Region,2,{0815A188-3FB2-4C07-9886-E996AD003B4A},12
MANA-0091,6/25/2007 10:34,20070625,2007,MANA,MANA,na,1,2,Region,1,{5ACAF8C3-43C6-459E-BD85-3DFE67CED4E6},12
MANA-0094,6/4/2007 10:58,20070604,2007,MANA,MANA,na,1,2,Region,1,{1D9A6FA9-470B-4B22-845C-CB751CA3EFA6},12
MANA-0106,5/4/2015 0:00,20150504,2015,MANA,MANA,na,2.2,2,Region,3,{86E5962E-41A5-43F0-BAEA-CEFCA32ABA0D},12
MANA-0106,5/31/2007 0:00,20070531,2007,MANA,MANA,na,1,2,Region,1,{691EF0B8-6E7A-4234-972F-B0DEC8EA9F77},12
MANA-0106,5/8/2019 12:56,20190508,2019,MANA,MANA,na,,2,Region,4,20190503073301-533424019.813538,12
MANA-0106,6/3/2011 9:44,20110603,2011,MANA,MANA,na,2.0.1,2,Region,2,{161CCE70-FA56-45C7-988C-973D3B44CC1A},12
